description,title,Type,result_code,reporting_link,result_id,pdf_url,Topic,input_text
"Together with the NARES, a clear recommendation for varieties to be 'replaced' and 'Product Positioning' for the varieties was prepared and to be promoted in Sub-Saharan Africa. During the 2021-2022 season in Kenya, a total of twenty-four tricot trials were established and managed in eleven rice growing hubs (schemes) distributed in seven counties. During the 2021-22 season in Tanzania, a total of thirteen tricot trials were established in thirteen rice-growing hubs (schemes) distributed in ten districts. During the 2021-22 main (wet) season in Mozambique,  a total of fourteen tricot trials were established in ten rice growing hubs (schemes) distributed in five districts. In the off-season, seven released varieties were used for the establishment of eleven tricot trials in Mozambique.",Replacement and positioning of rice varieties using target product profile in Sub-Saharan Africa,Innovation development,3016.0,https://reporting.cgiar.org/result/result-detail/3016,3034,https://reporting.cgiar.org/reports/result-details/3016?phase=1,10,"Together with the NARES, a clear recommendation for varieties to be 'replaced' and 'Product Positioning' for the varieties was prepared and to be promoted in Sub-Saharan Africa. During the 2021-2022 season in Kenya, a total of twenty-four tricot trials were established and managed in eleven rice growing hubs (schemes) distributed in seven counties. During the 2021-22 season in Tanzania, a total of thirteen tricot trials were established in thirteen rice-growing hubs (schemes) distributed in ten districts. During the 2021-22 main (wet) season in Mozambique,  a total of fourteen tricot trials were established in ten rice growing hubs (schemes) distributed in five districts. In the off-season, seven released varieties were used for the establishment of eleven tricot trials in Mozambique. Replacement and positioning of rice varieties using target product profile in Sub-Saharan Africa"
"The SI-MFS team is developing and piloting an agro advisory tool that will facilitate knowledgeable decision-making by farmers about the best practices in nutrient management. Generated from research-based data integrated with detailed biophysical co-variates, the advisories will also be site- and context-specific. Farmer access to the advisory services will be ensured through customized dissemination channels, including video, Interactive Voice Response, Short Messaging Services, radio, and traditional extension channels. Male and female farmer preferences and constraints will be factored in during the entire process to ensure adaptive learning. The advisory tool will provide site and context advisories for farmers in 3 Woredas during the incubation phase (2023-2024) and upscale to 10 million Maize and Barely growing farmers in Ethiopia until 2030.",Digital agro-advisory tool to implement decision making in nutrient management for maize and barley,Innovation development,2958.0,https://reporting.cgiar.org/result/result-detail/2958,2976,https://reporting.cgiar.org/reports/result-details/2958?phase=1,18,"The SI-MFS team is developing and piloting an agro advisory tool that will facilitate knowledgeable decision-making by farmers about the best practices in nutrient management. Generated from research-based data integrated with detailed biophysical co-variates, the advisories will also be site- and context-specific. Farmer access to the advisory services will be ensured through customized dissemination channels, including video, Interactive Voice Response, Short Messaging Services, radio, and traditional extension channels. Male and female farmer preferences and constraints will be factored in during the entire process to ensure adaptive learning. The advisory tool will provide site and context advisories for farmers in 3 Woredas during the incubation phase (2023-2024) and upscale to 10 million Maize and Barely growing farmers in Ethiopia until 2030. Digital agro-advisory tool to implement decision making in nutrient management for maize and barley"
"The innovation is to determine the effect of water management through tied ridges on productivity of different maize-cowpea cropping systems under variable soil fertility conditions, determine nitrogen fixation and cycling for an improved cowpea variety intercropped with maize and determine soil moisture dynamics in rely intercropping systems with or without tied ridges. _x000D_
More so, it seeks to investigate the interactions between rainfall received, nutrient management and soil type.",Integrated agronomic management strategies to enhance performance of mixed farming systems in Malawi through increasing cropping intensity,Innovation development,2957.0,https://reporting.cgiar.org/result/result-detail/2957,2975,https://reporting.cgiar.org/reports/result-details/2957?phase=1,25,"The innovation is to determine the effect of water management through tied ridges on productivity of different maize-cowpea cropping systems under variable soil fertility conditions, determine nitrogen fixation and cycling for an improved cowpea variety intercropped with maize and determine soil moisture dynamics in rely intercropping systems with or without tied ridges. _x000D_
More so, it seeks to investigate the interactions between rainfall received, nutrient management and soil type. Integrated agronomic management strategies to enhance performance of mixed farming systems in Malawi through increasing cropping intensity"
"The mixed cropping system in the highlands of Ethiopia is dominated with cereal-legume cropping system. Recently, potato, garlic and banana are becoming important crops due to expansion of small scale irrigation. Early generation planting materials of potato, garlic and banana is critical bottlenecks to scale farmer preferred varieties and bring positive impacts on food and nutrition security in the highlands of Ethiopia. A total of 7.1 t of  planting materials of five varieties of potato and one variety of garlic and 200 suckers of five varieties of banana were produced for next cropping season.",Production of early generation seeds for seed producers in Ethiopia,Innovation development,2137.0,https://reporting.cgiar.org/result/result-detail/2137,2155,https://reporting.cgiar.org/reports/result-details/2137?phase=1,9,"The mixed cropping system in the highlands of Ethiopia is dominated with cereal-legume cropping system. Recently, potato, garlic and banana are becoming important crops due to expansion of small scale irrigation. Early generation planting materials of potato, garlic and banana is critical bottlenecks to scale farmer preferred varieties and bring positive impacts on food and nutrition security in the highlands of Ethiopia. A total of 7.1 t of  planting materials of five varieties of potato and one variety of garlic and 200 suckers of five varieties of banana were produced for next cropping season. Production of early generation seeds for seed producers in Ethiopia"
"The mixed cropping system in the highlands of Ethiopia is dominated with cereal-legume cropping system. Recently, potato, garlic and banana are becoming important crops due to expansion of small scale irrigation. Early generation seeds of cereals and food legumes is critical bottlenecks to scale  farmer preferred varieties and bring positive impacts on food and nutrition security in the highlands of Ethiopia. In 2021/22 cropping season breeder seeds of 14 farmer preferred varieties of bread wheat",Production of early generation seeds of farmer preferred cereal and legume varieties for community seed producers in Ethiopia,Innovation development,2128.0,https://reporting.cgiar.org/result/result-detail/2128,2146,https://reporting.cgiar.org/reports/result-details/2128?phase=1,9,"The mixed cropping system in the highlands of Ethiopia is dominated with cereal-legume cropping system. Recently, potato, garlic and banana are becoming important crops due to expansion of small scale irrigation. Early generation seeds of cereals and food legumes is critical bottlenecks to scale  farmer preferred varieties and bring positive impacts on food and nutrition security in the highlands of Ethiopia. In 2021/22 cropping season breeder seeds of 14 farmer preferred varieties of bread wheat Production of early generation seeds of farmer preferred cereal and legume varieties for community seed producers in Ethiopia"
"The effect of different cutting management on the yield and quality of forage oat and food oat varieties (Desho grass and vetch)  was investigated in Ethiopian Highlands. The oat varieties were harvested at the vegetative and maturity stages to explore if this practice can result in a yield and quality advantage over one-time cutting at maturity. For the forage oat one-time cutting at hay stage was compared with two-time cutting at vegetative and maturity stages. The tree Lucerne cutting management trial plots had been established in the 2021 planting season to generate additional evidence on the optimal cutting height and frequency under field conditions._x000D_
Evidence on forage harvesting frequency and biomass of food-feed oat varieties generated per year will be bundled with other information to promote wider scaling of tree Lucerne in the Ethiopian Highlands.",Cutting frequency for  three food-feed oat varieties in crop-livestock mixed systems in Ethiopia,Innovation development,1876.0,https://reporting.cgiar.org/result/result-detail/1876,1894,https://reporting.cgiar.org/reports/result-details/1876?phase=1,50,"The effect of different cutting management on the yield and quality of forage oat and food oat varieties (Desho grass and vetch)  was investigated in Ethiopian Highlands. The oat varieties were harvested at the vegetative and maturity stages to explore if this practice can result in a yield and quality advantage over one-time cutting at maturity. For the forage oat one-time cutting at hay stage was compared with two-time cutting at vegetative and maturity stages. The tree Lucerne cutting management trial plots had been established in the 2021 planting season to generate additional evidence on the optimal cutting height and frequency under field conditions._x000D_
Evidence on forage harvesting frequency and biomass of food-feed oat varieties generated per year will be bundled with other information to promote wider scaling of tree Lucerne in the Ethiopian Highlands. Cutting frequency for  three food-feed oat varieties in crop-livestock mixed systems in Ethiopia"
"Agronomic fortification of maize, common beans, pigeon peas and soybean with micronutrient Zinc at rate of 30kg/ha against the current recommendation of 2-6kg/ha.",Enhance nutritional value of crop produce through biofortification and diversification,Innovation development,1865.0,https://reporting.cgiar.org/result/result-detail/1865,1883,https://reporting.cgiar.org/reports/result-details/1865?phase=1,9,"Agronomic fortification of maize, common beans, pigeon peas and soybean with micronutrient Zinc at rate of 30kg/ha against the current recommendation of 2-6kg/ha. Enhance nutritional value of crop produce through biofortification and diversification"
The innovation shows that cereal-legume cropping system shows that crop spatial configurations differ on effects they pose on productivity and overall economics of cereal-legume intercrops,Cereal-legume strip cropping,Innovation development,1861.0,https://reporting.cgiar.org/result/result-detail/1861,1879,https://reporting.cgiar.org/reports/result-details/1861?phase=1,26,The innovation shows that cereal-legume cropping system shows that crop spatial configurations differ on effects they pose on productivity and overall economics of cereal-legume intercrops Cereal-legume strip cropping
"Addressing physical and economic water scarcity through the provision of off-grid solar pumps to smallholder farmers in key-value chains and supporting adaption through sustainable finance solutions in Zambia. In many off-grid areas, petrol and diesel pumps are commonly used for irrigation. However, they are expensive to run and contribute to environmental pollution. With the abundance of sunshine in Sub Sahara Africa, solar pumps offer small farmers a promising alternative – if they can afford the initial investment. Financial mechanisms like pay-as-you-go models are linked to asset sales to decrease the investment threshhold for smallhold farmers.",Providing off-grid solar irrigation technologies and services to low-income farmers through inclusive and sustainable end-user finance mechanisms.,Innovation development,807.0,https://reporting.cgiar.org/result/result-detail/807,825,https://reporting.cgiar.org/reports/result-details/807?phase=1,38,"Addressing physical and economic water scarcity through the provision of off-grid solar pumps to smallholder farmers in key-value chains and supporting adaption through sustainable finance solutions in Zambia. In many off-grid areas, petrol and diesel pumps are commonly used for irrigation. However, they are expensive to run and contribute to environmental pollution. With the abundance of sunshine in Sub Sahara Africa, solar pumps offer small farmers a promising alternative – if they can afford the initial investment. Financial mechanisms like pay-as-you-go models are linked to asset sales to decrease the investment threshhold for smallhold farmers. Providing off-grid solar irrigation technologies and services to low-income farmers through inclusive and sustainable end-user finance mechanisms."
"The doubled-up legume system involving groundnuts and pigeon pea, comes across as being a perfect combination as the groundnuts only exploit the shallow soil profile and mature relatively faster whereas pigeon peas develop much slower while being deeper-rooted, leading to less competition in the system. Pigeon peas mature at least 2-3 months after the groundnuts, usually providing an increase in overall grain yield from both crops. Pigeon peas also add a large amount of slow decomposing biomass, besides nitrogen rich leaves and stems, which can be used partially as surface mulch or firewood. This benefits the whole cropping system and the household.", In doubled-up legume systems several legumes are strategically combined in the same planting space. Doubled legume systems are a principle of sustainable intensification to increase crop yields per unit land area.,Innovation development,779.0,https://reporting.cgiar.org/result/result-detail/779,797,https://reporting.cgiar.org/reports/result-details/779?phase=1,57,"The doubled-up legume system involving groundnuts and pigeon pea, comes across as being a perfect combination as the groundnuts only exploit the shallow soil profile and mature relatively faster whereas pigeon peas develop much slower while being deeper-rooted, leading to less competition in the system. Pigeon peas mature at least 2-3 months after the groundnuts, usually providing an increase in overall grain yield from both crops. Pigeon peas also add a large amount of slow decomposing biomass, besides nitrogen rich leaves and stems, which can be used partially as surface mulch or firewood. This benefits the whole cropping system and the household.  In doubled-up legume systems several legumes are strategically combined in the same planting space. Doubled legume systems are a principle of sustainable intensification to increase crop yields per unit land area."
"The AgWise modular decision support framework consists of sequential crop modeling and machine learning steps that use public data on weather and soils, and a variety of agronomic trial data to generate recommendations that can increase yields and profit for farmers. It was created via agreement among data scientists across Centers to support EiA use case analytics and advisory goals. However, AgWise is intended to be ""use case agnostic"", and thus generalizable to any Use Case and  agronomy recommendation needs of external partners beyond the life of this initiative. The framework includes the logic, work modalities, workflows, data sourcing methodologies, scripts and repositories (with CG Labs as a collaborative workbench), initially focused on generating fertilizer and planting date recommendations for several crops in different agroecologies.",AgWise crop model and machine learning decision support framework to create recommendations for farmers,Innovation development,2217.0,https://reporting.cgiar.org/result/result-detail/2217,2235,https://reporting.cgiar.org/reports/result-details/2217?phase=1,37,"The AgWise modular decision support framework consists of sequential crop modeling and machine learning steps that use public data on weather and soils, and a variety of agronomic trial data to generate recommendations that can increase yields and profit for farmers. It was created via agreement among data scientists across Centers to support EiA use case analytics and advisory goals. However, AgWise is intended to be ""use case agnostic"", and thus generalizable to any Use Case and  agronomy recommendation needs of external partners beyond the life of this initiative. The framework includes the logic, work modalities, workflows, data sourcing methodologies, scripts and repositories (with CG Labs as a collaborative workbench), initially focused on generating fertilizer and planting date recommendations for several crops in different agroecologies. AgWise crop model and machine learning decision support framework to create recommendations for farmers"
"The Collaborative GARDIAN (CG) Labs high-performance compute-and-store solution was improved through targeted development to maximize cost efficiency to advance data science for agriculture, particularly in limited bandwidth situations. This infrastructure works more or less like a supercomputer cluster, but is optimized for low bandwidth environments. An authenticated user (typically a data scientist) can choose a high, medium, or low computing environment based on their needs, and CG Labs will spin up a virtual machine for them/their teams to proceed with setting up particular large data sources, analytics jobs etc. This innovation is being improved through use and feedback from other initiatives and non-pooled projects.",Improved high-performance computation infrastructure for data scientists in low bandwidth environments,Innovation development,2136.0,https://reporting.cgiar.org/result/result-detail/2136,2154,https://reporting.cgiar.org/reports/result-details/2136?phase=1,18,"The Collaborative GARDIAN (CG) Labs high-performance compute-and-store solution was improved through targeted development to maximize cost efficiency to advance data science for agriculture, particularly in limited bandwidth situations. This infrastructure works more or less like a supercomputer cluster, but is optimized for low bandwidth environments. An authenticated user (typically a data scientist) can choose a high, medium, or low computing environment based on their needs, and CG Labs will spin up a virtual machine for them/their teams to proceed with setting up particular large data sources, analytics jobs etc. This innovation is being improved through use and feedback from other initiatives and non-pooled projects. Improved high-performance computation infrastructure for data scientists in low bandwidth environments"
"This toolkit will form an accessible and easily understandable 'checklist' based toolkit containing practical and actionable guidelines for the design of climate security-sensitive livestock sector-specific adaptation and mitigation policies. Previous research has demonstrated that awareness of climate-related security risks in key climate-related policy outputs across ClimBeR countries is limited, despite the increasing salience of pursuing adaptation and mitigation in fragile and conflict-affected areas. The toolkit will likely focus on both conceptual considerations (appropriate conceptualisations of climate security) and on technical considerations (inclusion and deployment of certain types of analyses and features of policy design). The toolkit will be aimed at policymakers, technical ministerial staff, and supporting entities in the governance space.",Livestock 4 Climate Security Policy and Governance Toolkit: Ensuring Climate Security-sensitive and Pro-peace Livestock Adaptation and Mitigation. A toolkit which will contain recommendations on how to mainstream climate security in relevant policies for policy makers,Innovation development,1107.0,https://reporting.cgiar.org/result/result-detail/1107,1125,https://reporting.cgiar.org/reports/result-details/1107?phase=1,8,"This toolkit will form an accessible and easily understandable 'checklist' based toolkit containing practical and actionable guidelines for the design of climate security-sensitive livestock sector-specific adaptation and mitigation policies. Previous research has demonstrated that awareness of climate-related security risks in key climate-related policy outputs across ClimBeR countries is limited, despite the increasing salience of pursuing adaptation and mitigation in fragile and conflict-affected areas. The toolkit will likely focus on both conceptual considerations (appropriate conceptualisations of climate security) and on technical considerations (inclusion and deployment of certain types of analyses and features of policy design). The toolkit will be aimed at policymakers, technical ministerial staff, and supporting entities in the governance space. Livestock 4 Climate Security Policy and Governance Toolkit: Ensuring Climate Security-sensitive and Pro-peace Livestock Adaptation and Mitigation. A toolkit which will contain recommendations on how to mainstream climate security in relevant policies for policy makers"
"Foresight Initiative WP3 strives for the enhanced access, transparency and use of foresight metrics and tools, through. an outward facing foresight web portal. The initiative is developing that platform now - that both has direct tools on it and links out to other resources. World Modeler tools for visualization of metrics and application of models  could possibly be part of our platform and could fill in the gaps there. The World Modeler system could become a nice complement on the data/analytics side to the rest of the foresight portal and, likewise, has the potential help with scenario design, projected benefits analysis, and potentially quite a bit more. The intended users would be foresight analysts in focus country policy think-tanks._x000D_
_x000D_
While we intend to ensure gender and climate change is targeted, it is currently not yet clearly  present in the initial evidence, so these tags will be updated as the innovation develops.","Incorporating World Modeler tools for visualization of metrics and controlled application of models to generate metrics, into the foresight web portal",Innovation development,950.0,https://reporting.cgiar.org/result/result-detail/950,968,https://reporting.cgiar.org/reports/result-details/950?phase=1,21,"Foresight Initiative WP3 strives for the enhanced access, transparency and use of foresight metrics and tools, through. an outward facing foresight web portal. The initiative is developing that platform now - that both has direct tools on it and links out to other resources. World Modeler tools for visualization of metrics and application of models  could possibly be part of our platform and could fill in the gaps there. The World Modeler system could become a nice complement on the data/analytics side to the rest of the foresight portal and, likewise, has the potential help with scenario design, projected benefits analysis, and potentially quite a bit more. The intended users would be foresight analysts in focus country policy think-tanks._x000D_
_x000D_
While we intend to ensure gender and climate change is targeted, it is currently not yet clearly  present in the initial evidence, so these tags will be updated as the innovation develops. Incorporating World Modeler tools for visualization of metrics and controlled application of models to generate metrics, into the foresight web portal"
"Varietal resistance against Fusarium Head Blight (FHB) is incomplete and is subject to environmental conditions and pathogenic variation; thus an integrated disease management package involving resistant germplasm, fungicide application, cultural control methods etc. is often indispensable. Under the Plant Health Initiative (PHI), in 2022, we evaluated a set of wheat genotypes with resistance to wheat blast in field experiments in Mexico and Zambia along with different fungicide ingredients, application timing, and spray nozzles, to identify the best management approach under smallholders' wheat cropping systems in the local environments. Final results will be available in 2023.",Integrated disease management of Fusarium Head Blight (FHB) in the smallholders' cropping systems in Mexico and Zambia,Innovation development,3860.0,https://reporting.cgiar.org/result/result-detail/3860,3879,https://reporting.cgiar.org/reports/result-details/3860?phase=1,4,"Varietal resistance against Fusarium Head Blight (FHB) is incomplete and is subject to environmental conditions and pathogenic variation; thus an integrated disease management package involving resistant germplasm, fungicide application, cultural control methods etc. is often indispensable. Under the Plant Health Initiative (PHI), in 2022, we evaluated a set of wheat genotypes with resistance to wheat blast in field experiments in Mexico and Zambia along with different fungicide ingredients, application timing, and spray nozzles, to identify the best management approach under smallholders' wheat cropping systems in the local environments. Final results will be available in 2023. Integrated disease management of Fusarium Head Blight (FHB) in the smallholders' cropping systems in Mexico and Zambia"
"The wheat blast caused by a fungal pathogen, Magnaporthe oryzae Triticum (MoT) pathotype, was detected in Bangladesh for the first time in 2016 and 2019 in Zambia. The disease is expanding in these countries and threatening to spread to neighboring regions. An early warning system for the wheat blast is very important for informing farmers about the blast risk so that management actions like fungicide application can be done in a timely manner. The wheat blast early warning system has been developed in Bangladesh, and the prototype is validated for its suitability for early warning advisory to farmers for effective management of the disease. The same model will be validated in Zambia and promoted in both countries to benefit more farmers.",Wheat Blast Early Warning System model for supporting farmers and enabling timely decision-making in Zambia and Bangladesh,Innovation development,4089.0,https://reporting.cgiar.org/result/result-detail/4089,4109,https://reporting.cgiar.org/reports/result-details/4089?phase=1,4,"The wheat blast caused by a fungal pathogen, Magnaporthe oryzae Triticum (MoT) pathotype, was detected in Bangladesh for the first time in 2016 and 2019 in Zambia. The disease is expanding in these countries and threatening to spread to neighboring regions. An early warning system for the wheat blast is very important for informing farmers about the blast risk so that management actions like fungicide application can be done in a timely manner. The wheat blast early warning system has been developed in Bangladesh, and the prototype is validated for its suitability for early warning advisory to farmers for effective management of the disease. The same model will be validated in Zambia and promoted in both countries to benefit more farmers. Wheat Blast Early Warning System model for supporting farmers and enabling timely decision-making in Zambia and Bangladesh"
"A protocol for improved understanding of how integrating men’s engagement on involvement in household chores and childcare activities into a social protection graduation model program can affect men’s behaviors and gender attitudes. As learning partners for the Strengthening PSNP for Institutions and Resilience (SPIR) program that provides gender-sensitive livelihood and nutrition programming in a graduation model to beneficiary households in Ethiopia’s Productive Safety Net Program (PSNP), IFPRI researchers are collaborating with implementation partners from World Vision, CARE and the Organization for Rehabilitation and Development in Amhara (ORDA) to design and implement an experimental impact evaluation to test the effectiveness of a men’s engagement training to encourage men to reconsider their roles in support of household chores and childcare activities. The study uses reporting from both men and their female partners on men’s behaviors on these tasks and examines whether changes in men’s behaviors are accompanied with changes in gender attitudes.",Protocol for improved understanding of how integrating men’s engagement on involvement in chores and childcare activities into a social protection graduation model program can affect men’s behaviors and gender attitudes,Innovation development,4208.0,https://reporting.cgiar.org/result/result-detail/4208,4228,https://reporting.cgiar.org/reports/result-details/4208?phase=1,2,"A protocol for improved understanding of how integrating men’s engagement on involvement in household chores and childcare activities into a social protection graduation model program can affect men’s behaviors and gender attitudes. As learning partners for the Strengthening PSNP for Institutions and Resilience (SPIR) program that provides gender-sensitive livelihood and nutrition programming in a graduation model to beneficiary households in Ethiopia’s Productive Safety Net Program (PSNP), IFPRI researchers are collaborating with implementation partners from World Vision, CARE and the Organization for Rehabilitation and Development in Amhara (ORDA) to design and implement an experimental impact evaluation to test the effectiveness of a men’s engagement training to encourage men to reconsider their roles in support of household chores and childcare activities. The study uses reporting from both men and their female partners on men’s behaviors on these tasks and examines whether changes in men’s behaviors are accompanied with changes in gender attitudes. Protocol for improved understanding of how integrating men’s engagement on involvement in chores and childcare activities into a social protection graduation model program can affect men’s behaviors and gender attitudes"
"This innovation is a novel approach to measuring impacts of social protection programs, in terms of their roles in supporting gendered responses to climate change in low- and middle-income countries. A multi-disciplinary team of researchers have designed a protocol that includes combining data from an experimental impact evaluation of a social protection program with detailed weather data from satellites to investigate how the social protection programs shape gender dimensions of outcomes from extreme weather events. The data for this research is drawn from country-specific sources on weather events and nationally or locally implemented social protection programs.",Study protocols for country-specific analysis of climate data combined with existing data on women’s well-being from randomized impact evaluations of social protection programs,Innovation development,4212.0,https://reporting.cgiar.org/result/result-detail/4212,4232,https://reporting.cgiar.org/reports/result-details/4212?phase=1,2,"This innovation is a novel approach to measuring impacts of social protection programs, in terms of their roles in supporting gendered responses to climate change in low- and middle-income countries. A multi-disciplinary team of researchers have designed a protocol that includes combining data from an experimental impact evaluation of a social protection program with detailed weather data from satellites to investigate how the social protection programs shape gender dimensions of outcomes from extreme weather events. The data for this research is drawn from country-specific sources on weather events and nationally or locally implemented social protection programs. Study protocols for country-specific analysis of climate data combined with existing data on women’s well-being from randomized impact evaluations of social protection programs"
"This framework conceptualizes how social protection can shape the effect of climate change on women and girls’ well-being. The conceptual framework highlights a set of pathways whereby social safety nets, by building household and women’s resilience capacities, can improve how women, households, and communities respond to climate change. This framework will be used to summarize the existing evidence on how social protection leads to improved and inclusive responses to climate change, and where knowledge gaps may exist.",Framework to assess the potential of social protection programs to support women's and girls' improved responses to climate change in low- and middle-income countries,Innovation development,4220.0,https://reporting.cgiar.org/result/result-detail/4220,4240,https://reporting.cgiar.org/reports/result-details/4220?phase=1,2,"This framework conceptualizes how social protection can shape the effect of climate change on women and girls’ well-being. The conceptual framework highlights a set of pathways whereby social safety nets, by building household and women’s resilience capacities, can improve how women, households, and communities respond to climate change. This framework will be used to summarize the existing evidence on how social protection leads to improved and inclusive responses to climate change, and where knowledge gaps may exist. Framework to assess the potential of social protection programs to support women's and girls' improved responses to climate change in low- and middle-income countries"
"The content of the Planting Date Advisories were developed into messages and disseminated to farmers across Bihar through the dissemination platforms of BAU, JEEViKA and IFFCO kisan. The advisories were approved and accepted by the Convergence Platform in the form of text and audio to be disseminated to farmers across the state, as the part of the extension activities (Audio advisories) in the state of Bihar, Convergence Platform consists of members from research universities, public and private partners such as BAU, IKSL, and Jeevika which disseminates the text messages and IVR calls to the farmers in Bihar. ",Planting Date Advisories disseminated to over 1million farmers through audio recording in India,Innovation development,4472.0,https://reporting.cgiar.org/result/result-detail/4472,4547,https://reporting.cgiar.org/reports/result-details/4472?phase=1,1,"The content of the Planting Date Advisories were developed into messages and disseminated to farmers across Bihar through the dissemination platforms of BAU, JEEViKA and IFFCO kisan. The advisories were approved and accepted by the Convergence Platform in the form of text and audio to be disseminated to farmers across the state, as the part of the extension activities (Audio advisories) in the state of Bihar, Convergence Platform consists of members from research universities, public and private partners such as BAU, IKSL, and Jeevika which disseminates the text messages and IVR calls to the farmers in Bihar.  Planting Date Advisories disseminated to over 1million farmers through audio recording in India"
"A pre-registration is a time-stamped research plan that researchers can create and upload before conducting a study. The objective of pre-registration is to provide researchers with an overview of ongoing studies in their field and to build research transparency by reducing selective reporting. While pre-registration is commonplace for clinical health trials, its use in development economics is more recent, and WP3 decided to adopt this latest standard for their field experiments. This particular experiment by IFPRI, Wageningen University, ACRE Africa, and the Kenyan Agriculture and Livestock Research Organization (KALRO) in Kenya will test the effects of providing trial packs versus a consumer-oriented intervention (which is still being finalized) on varietal adoption by smallholder farmers. Effects of trial packs will be compared with the effects of providing remote personalized advisories, and insurance subsidies.",Registration of the Trial “Testing what works to accelerate varietal turnover: An experiment in Kenya”,Innovation development,2588.0,https://reporting.cgiar.org/result/result-detail/2588,2606,https://reporting.cgiar.org/reports/result-details/2588?phase=1,0,"A pre-registration is a time-stamped research plan that researchers can create and upload before conducting a study. The objective of pre-registration is to provide researchers with an overview of ongoing studies in their field and to build research transparency by reducing selective reporting. While pre-registration is commonplace for clinical health trials, its use in development economics is more recent, and WP3 decided to adopt this latest standard for their field experiments. This particular experiment by IFPRI, Wageningen University, ACRE Africa, and the Kenyan Agriculture and Livestock Research Organization (KALRO) in Kenya will test the effects of providing trial packs versus a consumer-oriented intervention (which is still being finalized) on varietal adoption by smallholder farmers. Effects of trial packs will be compared with the effects of providing remote personalized advisories, and insurance subsidies. Registration of the Trial “Testing what works to accelerate varietal turnover: An experiment in Kenya”"
"A pre-registration is a time-stamped research plan that researchers can create and upload before conducting a study. The objective of pre-registration is to provide researchers with an overview of ongoing studies in their field and to build research transparency by reducing selective reporting. While pre-registration is commonplace for clinical health trials, its use in development economics is more recent, and WP3 decided to adopt this latest standard for their field experiments. This particular experiment by IFPRI, University of Arizona, BahirDar University and Ethiopian Institute for Agricultural Research (EIAR) in Ethiopia will test the effects of providing trial packs versus a consumer-oriented intervention (which is still being finalized) on varietal adoption by smallholder farmers. Effects of trial packs will be compared with the effects of providing both trial packs and an innovative crop insurance product to de-risk investments in seeds of new varieties.","Registration of the Trial “Digital Innovations in Crop Insurance Product Design in Ethiopia”, which WP3 is leveraging to test effects of trial packs and a consumer-oriented intervention",Innovation development,2590.0,https://reporting.cgiar.org/result/result-detail/2590,2608,https://reporting.cgiar.org/reports/result-details/2590?phase=1,0,"A pre-registration is a time-stamped research plan that researchers can create and upload before conducting a study. The objective of pre-registration is to provide researchers with an overview of ongoing studies in their field and to build research transparency by reducing selective reporting. While pre-registration is commonplace for clinical health trials, its use in development economics is more recent, and WP3 decided to adopt this latest standard for their field experiments. This particular experiment by IFPRI, University of Arizona, BahirDar University and Ethiopian Institute for Agricultural Research (EIAR) in Ethiopia will test the effects of providing trial packs versus a consumer-oriented intervention (which is still being finalized) on varietal adoption by smallholder farmers. Effects of trial packs will be compared with the effects of providing both trial packs and an innovative crop insurance product to de-risk investments in seeds of new varieties. Registration of the Trial “Digital Innovations in Crop Insurance Product Design in Ethiopia”, which WP3 is leveraging to test effects of trial packs and a consumer-oriented intervention"
"List of varieties to be replaced were shared by National Partners. IRRI, shared potential candidates that match the varieties and are improved for the deficiencies existing in the old varieties. These lines were tested vigorously and after head-to-head comparison, selected lines were released as varieties through the national systems.",New varieties promoted using TPP for the market segment helps in positioning the variety in the market-place for better adoption which addresses pain points of growers in the market segment,Innovation development,3012.0,https://reporting.cgiar.org/result/result-detail/3012,3030,https://reporting.cgiar.org/reports/result-details/3012?phase=1,0,"List of varieties to be replaced were shared by National Partners. IRRI, shared potential candidates that match the varieties and are improved for the deficiencies existing in the old varieties. These lines were tested vigorously and after head-to-head comparison, selected lines were released as varieties through the national systems. New varieties promoted using TPP for the market segment helps in positioning the variety in the market-place for better adoption which addresses pain points of growers in the market segment"
"Rules of engagement were needed In order to provide an inclusive, transparent and robust cross-functional and cross-crop  decision-making platform for continuous improvement of  processes in Genetic Innovations. We created an inventory to keep track of and visualize/report the Process Teams' member assignments in real-time in order to manage people workload and line manager sponsorship. We defined principles for process teams operation in order to support members work more efficiently towards agreed goals, keep everyone well informed, make teams'  work transparent, vand isualize the workflow for everyone, making it possible to make agile decisions​.",Cross-functional and cross-crop decision-making platform and tools for continuous improvement and harmonization of processes in Genetic Innovations to support team members manage collaboration in an efficient manner,Innovation development,3951.0,https://reporting.cgiar.org/result/result-detail/3951,3971,https://reporting.cgiar.org/reports/result-details/3951?phase=1,0,"Rules of engagement were needed In order to provide an inclusive, transparent and robust cross-functional and cross-crop  decision-making platform for continuous improvement of  processes in Genetic Innovations. We created an inventory to keep track of and visualize/report the Process Teams' member assignments in real-time in order to manage people workload and line manager sponsorship. We defined principles for process teams operation in order to support members work more efficiently towards agreed goals, keep everyone well informed, make teams'  work transparent, vand isualize the workflow for everyone, making it possible to make agile decisions​. Cross-functional and cross-crop decision-making platform and tools for continuous improvement and harmonization of processes in Genetic Innovations to support team members manage collaboration in an efficient manner"
